numepochs,batchsize,learningrate,momentum,weightdecay,cputime,realtime,acc
50,50,1.0E-5,0.9,1.0E-5,2.61522309E11,1.00791314E12,0.8088
50,50,1.0E-5,0.9,1.0E-4,2.61151539E11,1.00617965E12,0.8204
50,50,1.0E-5,0.9,0.001,2.62692979E11,1.00880744E12,0.8404
50,50,1.0E-5,1.0,1.0E-5,2.61966397E11,1.00677563E12,0.826
50,50,1.0E-5,1.0,1.0E-4,2.6128035E11,1.00612971E12,0.8336
50,50,1.0E-5,1.0,0.001,2.62558204E11,1.00894002E12,0.8464
50,50,1.0E-4,0.0,1.0E-5,2.62103106E11,1.00798602E12,0.856
50,50,1.0E-4,0.0,1.0E-4,2.62829949E11,1.00933829E12,0.854
50,50,1.0E-4,0.0,0.001,2.62978028E11,1.01055096E12,0.8576
50,50,1.0E-4,0.5,1.0E-5,2.61295931E11,1.01184471E12,0.852
50,50,1.0E-4,0.5,1.0E-4,2.61397168E11,1.01144402E12,0.8596
50,50,1.0E-4,0.5,0.001,2.63943619E11,1.0171066E12,0.8556
50,50,1.0E-4,0.9,1.0E-5,2.61430673E11,1.01123654E12,0.8572
50,50,1.0E-4,0.9,1.0E-4,2.63402373E11,1.0141504E12,0.8604
50,50,1.0E-4,0.9,0.001,2.60844995E11,1.01045685E12,0.8544
50,50,1.0E-4,1.0,1.0E-5,2.62222496E11,1.01170669E12,0.8592
50,50,1.0E-4,1.0,1.0E-4,2.59625959E11,1.01664666E12,0.8556
50,50,1.0E-4,1.0,0.001,2.59743302E11,1.01512787E12,0.856
50,50,0.001,0.0,1.0E-5,2.59454779E11,1.01251921E12,0.8416
50,50,0.001,0.0,1.0E-4,2.40813474E11,9.7876849E11,0.8416
50,50,0.001,0.0,0.001,2.49703268E11,9.9598906E11,0.8412
50,50,0.001,0.5,1.0E-5,2.5940879E11,1.01256036E12,0.842
50,50,0.001,0.5,1.0E-4,2.60803592E11,1.01658925E12,0.8404
50,50,0.001,0.5,0.001,2.59196453E11,1.01335872E12,0.8416
50,50,0.001,0.9,1.0E-5,2.60129473E11,1.0143432E12,0.8412
50,50,0.001,0.9,1.0E-4,2.61251514E11,1.01781222E12,0.8412
50,50,0.001,0.9,0.001,2.58557739E11,1.01754733E12,0.8412
50,50,0.001,1.0,1.0E-5,1.11573893E11,7.597285E11,0.8412
50,50,0.001,1.0,1.0E-4,8.6842294E10,7.156735E11,0.8412
50,50,0.001,1.0,0.001,8.6902727E10,7.1742082E11,0.8412
50,128,1.0E-5,0.0,1.0E-5,4.2026185E10,5.06707444E11,0.702
50,128,1.0E-5,0.0,1.0E-4,4.2331206E10,5.07856781E11,0.7488
50,128,1.0E-5,0.0,0.001,4.2586178E10,5.07291828E11,0.7384
50,128,1.0E-5,0.5,1.0E-5,4.2175365E10,5.0750269E11,0.6692
50,128,1.0E-5,0.5,1.0E-4,3.7805162E10,5.08003516E11,0.7232
50,128,1.0E-5,0.5,0.001,3.5699855E10,5.08705079E11,0.7224
50,128,1.0E-5,0.9,1.0E-5,3.5252716E10,5.08495725E11,0.7548
50,128,1.0E-5,0.9,1.0E-4,3.5430605E10,5.0762E11,0.6712
50,128,1.0E-5,0.9,0.001,3.4974839E10,5.0689101E11,0.732
50,128,1.0E-5,1.0,1.0E-5,6.0425695E10,5.49884E11,0.7112
50,128,1.0E-5,1.0,1.0E-4,1.25515719E11,6.580089E11,0.7444
50,128,1.0E-5,1.0,0.001,1.2429765E11,6.5761372E11,0.6908
50,128,1.0E-4,0.0,1.0E-5,1.25819552E11,6.5852788E11,0.7292
50,128,1.0E-4,0.0,1.0E-4,1.25444858E11,6.5770468E11,0.704
50,128,1.0E-4,0.0,0.001,1.27027167E11,6.607082E11,0.724
50,128,1.0E-4,0.5,1.0E-5,1.25887758E11,6.6008364E11,0.718
50,128,1.0E-4,0.5,1.0E-4,1.25990896E11,6.5838796E11,0.7388
50,128,1.0E-4,0.5,0.001,1.2529007E11,6.5706826E11,0.7088
50,128,1.0E-4,0.9,1.0E-5,1.25570671E11,6.5829123E11,0.7256
50,128,1.0E-4,0.9,1.0E-4,1.27504581E11,6.6190154E11,0.7092
50,128,1.0E-4,0.9,0.001,1.2713431E11,6.6329195E11,0.714
50,128,1.0E-4,1.0,1.0E-5,1.28261226E11,6.6814876E11,0.716
50,128,1.0E-4,1.0,1.0E-4,1.27175344E11,6.6265507E11,0.7168
50,128,1.0E-4,1.0,0.001,1.21238643E11,6.5187434E11,0.7128
50,128,0.001,0.0,1.0E-5,1.26988427E11,6.5998186E11,0.6892
50,128,0.001,0.0,1.0E-4,1.26247272E11,6.5930265E11,0.6904
50,128,0.001,0.0,0.001,1.26614118E11,6.5942513E11,0.6852
50,128,0.001,0.5,1.0E-5,1.2654882E11,6.5948169E11,0.686
50,128,0.001,0.5,1.0E-4,1.25894967E11,6.5748186E11,0.6836
50,128,0.001,0.5,0.001,1.25663961E11,6.5633865E11,0.6864
50,128,0.001,0.9,1.0E-5,1.26114742E11,6.5799868E11,0.6848
50,128,0.001,0.9,1.0E-4,1.24590432E11,6.5564829E11,0.6852
50,128,0.001,0.9,0.001,1.25417226E11,6.5795562E11,0.6848
50,128,0.001,1.0,1.0E-5,1.26378369E11,6.5815052E11,0.6868
50,128,0.001,1.0,1.0E-4,1.26086611E11,6.5847709E11,0.6876
50,128,0.001,1.0,0.001,1.25605241E11,6.5713812E11,0.6876
50,256,1.0E-5,0.0,1.0E-5,8.4145668E10,5.7278752E11,0.6564
50,256,1.0E-5,0.0,1.0E-4,8.4709736E10,5.7292272E11,0.7052
50,256,1.0E-5,0.0,0.001,8.445807E10,5.7246836E11,0.7336
50,256,1.0E-5,0.5,1.0E-5,8.3555688E10,5.7152635E11,0.7732
50,256,1.0E-5,0.5,1.0E-4,8.4092641E10,5.7226494E11,0.7508
50,256,1.0E-5,0.5,0.001,8.4677427E10,5.7314188E11,0.676
50,256,1.0E-5,0.9,1.0E-5,8.2562179E10,5.7038452E11,0.6836
50,256,1.0E-5,0.9,1.0E-4,8.5559329E10,5.737551E11,0.6728
50,256,1.0E-5,0.9,0.001,8.4972093E10,5.7427165E11,0.6828
50,256,1.0E-5,1.0,1.0E-5,8.3981951E10,5.7168796E11,0.736
50,256,1.0E-5,1.0,1.0E-4,8.5161591E10,5.7417079E11,0.7336
50,256,1.0E-5,1.0,0.001,8.3531227E10,5.7161351E11,0.7408
50,256,1.0E-4,0.0,1.0E-5,8.34816E10,5.709145E11,0.7396
50,256,1.0E-4,0.0,1.0E-4,8.4344422E10,5.7224502E11,0.7124
50,256,1.0E-4,0.0,0.001,8.4812726E10,5.7328632E11,0.7176
50,256,1.0E-4,0.5,1.0E-5,8.462377E10,5.7233906E11,0.7028
50,256,1.0E-4,0.5,1.0E-4,8.2979324E10,5.6743441E11,0.738
50,256,1.0E-4,0.5,0.001,8.3224486E10,5.6752138E11,0.7208
50,256,1.0E-4,0.9,1.0E-5,8.4156776E10,5.6882096E11,0.7236
50,256,1.0E-4,0.9,1.0E-4,8.450746E10,5.6926188E11,0.7192
50,256,1.0E-4,0.9,0.001,8.4153958E10,5.6850009E11,0.7184
50,256,1.0E-4,1.0,1.0E-5,3.6612149E10,4.94714356E11,0.7376
50,256,1.0E-4,1.0,1.0E-4,1.93010708E10,4.67566133E11,0.7256
50,256,1.0E-4,1.0,0.001,1.92702403E10,4.68759478E11,0.7164
50,256,0.001,0.0,1.0E-5,1.92202424E10,4.68221395E11,0.6928
50,256,0.001,0.0,1.0E-4,1.93951457E10,4.67823395E11,0.6884
50,256,0.001,0.0,0.001,1.92846868E10,4.68207174E11,0.6936
50,256,0.001,0.5,1.0E-5,1.93167196E10,4.68207141E11,0.692
50,256,0.001,0.5,1.0E-4,1.92695726E10,4.6780144E11,0.6988
50,256,0.001,0.5,0.001,1.9297239E10,4.68307509E11,0.692
50,256,0.001,0.9,1.0E-5,1.94134139E10,4.68534034E11,0.694
50,256,0.001,0.9,1.0E-4,1.93538458E10,4.68113064E11,0.6912
50,256,0.001,0.9,0.001,1.92454861E10,4.68194329E11,0.6944
50,256,0.001,1.0,1.0E-5,1.95798979E10,4.68077576E11,0.692
50,256,0.001,1.0,1.0E-4,1.92272097E10,4.6804009E11,0.694
50,256,0.001,1.0,0.001,1.94597683E10,4.68638532E11,0.6868
50,512,1.0E-5,0.0,1.0E-5,1.35031972E10,4.52499243E11,0.7044
50,512,1.0E-5,0.0,1.0E-4,1.35531674E10,4.52697817E11,0.7044
50,512,1.0E-5,0.0,0.001,1.36283648E10,4.52321935E11,0.72
50,512,1.0E-5,0.5,1.0E-5,1.34591375E10,4.52211442E11,0.688
50,512,1.0E-5,0.5,1.0E-4,1.35745454E10,4.52444422E11,0.7536
50,512,1.0E-5,0.5,0.001,1.3508694E10,4.52282155E11,0.7544
50,512,1.0E-5,0.9,1.0E-5,1.36236544E10,4.52451959E11,0.6688
50,512,1.0E-5,0.9,1.0E-4,1.36301036E10,4.52557799E11,0.7044
50,512,1.0E-5,0.9,0.001,1.35967887E10,4.52514742E11,0.7696
50,512,1.0E-5,1.0,1.0E-5,1.3578924E10,4.52307157E11,0.678
50,512,1.0E-5,1.0,1.0E-4,2.97140675E10,4.74302906E11,0.7388
50,512,1.0E-5,1.0,0.001,6.1775933E10,5.17490246E11,0.6604
50,512,1.0E-4,0.0,1.0E-5,5.9684774E10,5.15527934E11,0.7248
50,512,1.0E-4,0.0,1.0E-4,6.1056733E10,5.17387583E11,0.7424
50,512,1.0E-4,0.0,0.001,6.1465936E10,5.17541822E11,0.7272
50,512,1.0E-4,0.5,1.0E-5,6.1799719E10,5.18152716E11,0.742
50,512,1.0E-4,0.5,1.0E-4,5.9383939E10,5.15041165E11,0.744
50,512,1.0E-4,0.5,0.001,5.9828265E10,5.15741286E11,0.7104
50,512,1.0E-4,0.9,1.0E-5,5.9113112E10,5.14514551E11,0.7336
50,512,1.0E-4,0.9,1.0E-4,6.1400596E10,5.16726161E11,0.7128
50,512,1.0E-4,0.9,0.001,5.9622916E10,5.14664301E11,0.7168
